name,fifa_code,confederation,qualification_method,qualification_date,total_times_qualified,last_time_qualified,current_consecutive_appearances,previous_best_performance,is_host,is_debutant,source,api_football_team_id,logo_url,raw_names_seen
Australia,AUS,AFC,AFC third round Group C runners-up,10 June 2025,7,2022,6,"Round of 16 ( 2006 , 2022 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,529,https://apiv3.apifootball.com/badges/529_australia.jpg,Australia
Iran,IRN,AFC,AFC third round Group A winners,25 March 2025,7,2022,4,"Group stage ( 1978 , 1998 , 2006 , 2014 , 2018 , 2022 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,644,https://apiv3.apifootball.com/badges/644_ir-iran.jpg,Iran; IR Iran
Iraq,IRQ,AFC,Inter-confederation Pathway 2 play-off winners,31 March 2026,2,1986,1,Group stage ( 1986 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,642,https://apiv3.apifootball.com/badges/642_iraq.jpg,Iraq
Japan,JPN,AFC,AFC third round Group C winners,20 March 2025,8,2022,8,"Round of 16 ( 2002 , 2010 , 2018 , 2022 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,540,https://apiv3.apifootball.com/badges/540_japan.jpg,Japan
Jordan,JOR,AFC,AFC third round Group B runners-up,5 June 2025,1,N/A,1,N/A,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,641,https://apiv3.apifootball.com/badges/641_jordan.jpg,Jordan
Qatar,QAT,AFC,AFC fourth round Group A winners,14 October 2025,2,2022,2,Group stage ( 2022 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,538,https://apiv3.apifootball.com/badges/538_qatar.jpg,Qatar
Saudi Arabia,KSA,AFC,AFC fourth round Group B winners,14 October 2025,7,2022,3,Round of 16 ( 1994 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,647,https://apiv3.apifootball.com/badges/647_saudi-arabia.jpg,Saudi Arabia
South Korea,KOR,AFC,AFC third round Group B winners,5 June 2025,12,2022,11,Fourth place ( 2002 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,651,https://apiv3.apifootball.com/badges/651_korea-republic.jpg,South Korea; Korea Republic
Uzbekistan,UZB,AFC,AFC third round Group A runners-up,5 June 2025,1,N/A,1,N/A,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,646,https://apiv3.apifootball.com/badges/646_uzbekistan.jpg,Uzbekistan
Algeria,ALG,CAF,CAF Group G winners,9 October 2025,5,2014,1,Round of 16 ( 2014 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,734,https://apiv3.apifootball.com/badges/734_algeria.jpg,Algeria
Cape Verde,CPV,CAF,CAF Group D winners,13 October 2025,1,N/A,1,N/A,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,732,https://apiv3.apifootball.com/badges/732_cabo-verde.jpg,Cape Verde; Cabo Verde
DR Congo,COD,CAF,Inter-confederation Pathway 1 play-off winners,31 March 2026,2,1974,1,Group stage ( 1974 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,728,https://apiv3.apifootball.com/badges/728_congo-dr.jpg,DR Congo; Congo DR
Egypt,EGY,CAF,CAF Group A winners,8 October 2025,4,2018,1,"First round ( 1934 ), group stage ( 1990 , 2018 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,716,https://apiv3.apifootball.com/badges/716_egypt.jpg,Egypt
Ghana,GHA,CAF,CAF Group I winners,12 October 2025,5,2022,2,Quarter-finals ( 2010 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,725,https://apiv3.apifootball.com/badges/725_ghana.jpg,Ghana
Ivory Coast,CIV,CAF,CAF Group F winners,14 October 2025,4,2014,1,"Group stage ( 2006 , 2010 , 2014 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,738,https://apiv3.apifootball.com/badges/738_ivory-coast.jpg,Ivory Coast
